lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
recórrer,338,335,NOUN,673,335,0.49777117384843983,True,0.9091233611106873,8.78173542022705,9.944778442382812
derivar,130,522,VERB,652,130,0.19938650306748465,True,0.8311985731124878,8.476438522338867,8.811075210571289
compra,167,476,VERB,643,167,0.25972006220839816,True,0.8520636558532715,8.693306922912598,8.974418640136719
amenaçar,432,200,NOUN,632,200,0.31645569620253167,True,0.9424179792404175,8.63358211517334,8.267990112304688
fotografia,577,47,NOUN,624,47,0.07532051282051282,True,0.8889827132225037,7.185200214385986,6.184733867645264
ésser,468,148,NOUN,616,148,0.24025974025974026,True,0.7398903369903564,8.250943183898926,9.45897388458252
afectar,35,572,VERB,607,35,0.057660626029654036,True,0.8275091648101807,7.290278911590576,8.382441520690918
comandant,543,59,NOUN,602,59,0.09800664451827243,True,0.9741312265396118,8.680830955505371,8.788240432739258
gravar,197,369,VERB,566,197,0.3480565371024735,True,0.7156680822372437,6.688663482666016,9.229252815246582
desaparèixer,31,532,VERB,563,31,0.055062166962699825,True,0.9201786518096924,8.754321098327637,8.220495223999023
baixar,208,354,VERB,562,208,0.3701067615658363,True,0.8253206610679626,10.209393501281738,9.772908210754395
facilitar,165,396,VERB,561,165,0.29411764705882354,True,0.8081831336021423,7.496776580810547,9.105727195739746
citar,177,383,VERB,560,177,0.31607142857142856,True,0.9143145084381104,8.798433303833008,9.094850540161133
menjar,200,348,VERB,548,200,0.36496350364963503,True,0.9698914289474487,7.5392937660217285,8.867243766784668
militar,371,160,NOUN,531,160,0.3013182674199623,True,0.7306737303733826,8.001409530639648,9.881143569946289
reserva,459,62,NOUN,521,62,0.11900191938579655,True,0.8282877206802368,7.672357082366943,7.461959362030029
robar,393,121,NOUN,514,121,0.23540856031128404,True,0.811794638633728,7.475453853607178,6.958076000213623
nota,359,154,NOUN,513,154,0.3001949317738791,True,0.6789163947105408,8.280029296875,8.601897239685059
marc,460,51,NOUN,511,51,0.09980430528375733,True,0.7172065377235413,8.421806335449219,9.159613609313965
