lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
lasi,166,35,NOUN,201,35,0.17412935323383086,True,0.9857325553894043,6.611030101776123,6.721503734588623
kehä,142,41,NOUN,183,41,0.22404371584699453,True,0.8430184721946716,7.697439670562744,7.0982208251953125
lama,141,42,NOUN,183,42,0.22950819672131148,True,0.9807257652282715,6.782172203063965,5.657681465148926
sanottu,47,126,VERB,173,47,0.27167630057803466,True,0.9930787086486816,6.20734167098999,6.24440860748291
city,97,70,NOUN,167,70,0.41916167664670656,True,0.9764509797096252,8.111117362976074,8.467057228088379
ahvenanmaa,43,121,VERB,164,43,0.2621951219512195,True,0.8376340270042419,8.006357192993164,5.632164001464844
detroit,73,85,VERB,158,73,0.4620253164556962,True,0.9788400530815125,7.63886022567749,6.75942850112915
elää,54,102,VERB,156,54,0.34615384615384615,True,0.9926251769065857,8.927873611450195,8.98160171508789
taajaa,70,85,VERB,155,70,0.45161290322580644,True,0.9926965832710266,7.830483913421631,7.436407566070557
pyhä,98,54,NOUN,152,54,0.35526315789473684,True,0.9492284655570984,8.327825546264648,8.737685203552246
sijaina,56,87,VERB,143,56,0.3916083916083916,True,0.9853683710098267,8.033292770385742,7.9606099128723145
kortteli,108,34,NOUN,142,34,0.23943661971830985,True,0.9871464967727661,6.515572547912598,7.237865447998047
vääpeli,98,42,NOUN,140,42,0.3,True,0.7908514738082886,8.624658584594727,5.241770267486572
ta,86,52,NOUN,138,52,0.37681159420289856,True,0.7674874067306519,10.866294860839844,10.860538482666016
metsä#maa,76,60,NOUN,136,60,0.4411764705882353,True,0.9861100316047668,6.435472011566162,5.3482208251953125
joensuu,87,48,NOUN,135,48,0.35555555555555557,True,0.8172672986984253,8.885459899902344,5.482867240905762
vaiva,78,57,NOUN,135,57,0.4222222222222222,True,0.9109832644462585,7.732195854187012,7.4499382972717285
neitsyt,37,97,VERB,134,37,0.27611940298507465,True,0.9633782505989075,8.125836372375488,7.862562656402588
niemia,91,37,NOUN,128,37,0.2890625,True,0.9934759736061096,6.42177152633667,6.8875017166137695
du,55,73,VERB,128,55,0.4296875,True,0.9704217910766602,10.779707908630371,8.58585262298584
sata,45,78,VERB,123,45,0.36585365853658536,True,0.8447451591491699,9.439221382141113,9.84882640838623
alanko,92,31,NOUN,123,31,0.25203252032520324,True,0.7668206691741943,8.783927917480469,5.708632946014404
tuttu,60,62,VERB,122,60,0.4918032786885246,True,0.978644609451294,7.490087985992432,7.68917179107666
pelana,66,51,NOUN,117,51,0.4358974358974359,True,0.8550200462341309,5.612054347991943,9.460281372070312
